start_station_name,end_station_name,day,parts_of_day,duration_minutes,month,subscriber_type,year,start_hour,count
City Hall / Lavaca & 2nd,South Congress & James,5,early afternoon,25.94206896551724,3,Walk Up,2015.0,14.220689655172414,725
5th & Bowie,Palmer Auditorium,2,late afternoon,14.309820193637622,3,Local365,2015.6279391424619,15.550484094052559,723
City Hall / Lavaca & 2nd,Palmer Auditorium,4,early afternoon,13.045706371191136,3,Local365,2015.3614958448754,13.997229916897506,722
Capitol Station / Congress & 11th,UT West Mall @ Guadalupe,5,early afternoon,28.383656509695292,3,Walk Up,2015.2174515235456,13.703601108033242,722
Palmer Auditorium,Barton Springs @ Kinney Ave,5,early afternoon,28.990264255910986,3,Walk Up,2015.538247566064,14.585535465924895,719
Davis at Rainey Street,Rainey St @ Cummings,5,early afternoon,35.85634588563459,3,Walk Up,2015.5955369595538,14.284518828451883,717
4th & Congress,Capitol Station / Congress & 11th,6,early afternoon,17.591608391608393,5,Walk Up,2015.0937062937062,13.962237762237763,715
Convention Center / 4th St. @ MetroRail,Republic Square @ Guadalupe & 4th St.,5,early morning,27.87798036465638,3,Annual Membership (Austin B-cycle),2014.5035063113605,11.52875175315568,713
Pfluger Bridge @ W 2nd Street,2nd & Congress,4,late morning,21.09732016925247,3,Walk Up,2015.3681241184768,13.734837799717912,709
Capital Metro HQ - East 5th at Broadway,Plaza Saltillo,3,late afternoon,12.424113475177306,1,Local365,2015.758865248227,15.836879432624114,705
4th & Congress,Riverside @ S. Lamar,6,late afternoon,21.927556818181817,3,Local365,2015.544034090909,15.028409090909092,704
City Hall / Lavaca & 2nd,Barton Springs @ Kinney Ave,6,late afternoon,22.223965763195434,10,Walk Up,2015.4522111269614,14.771754636233952,701
4th & Congress,Barton Springs & Riverside,5,late afternoon,19.07868383404864,3,Walk Up,2014.7997138769672,14.280400572246066,699
Convention Center / 4th St. @ MetroRail,Rainey St @ Cummings,6,late afternoon,19.13131313131313,3,Walk Up,2015.3939393939395,13.734487734487734,693
3rd & West,5th & Bowie,5,early afternoon,12.852601156069364,7,Local365,2015.362716763006,13.874277456647398,692
Barton Springs @ Kinney Ave,5th & Bowie,5,early afternoon,20.13933236574746,5,Walk Up,2015.4949201741654,14.58055152394775,689
4th & Congress,Rainey St @ Cummings,4,evening,17.915697674418606,3,Local365,2015.8386627906978,15.398255813953488,688
5th & Bowie,Pfluger Bridge @ W 2nd Street,6,early afternoon,19.385174418604652,7,Local365,2015.4709302325582,14.446220930232558,688
Barton Springs & Riverside,2nd & Congress,4,early morning,19.944767441860463,3,Walk Up,2014.9316860465117,12.622093023255815,688
4th & Congress,Pfluger Bridge @ W 2nd Street,3,evening,13.561863173216885,9,Local365,2015.202328966521,15.599708879184861,687
Capitol Station / Congress & 11th,South Congress & James,5,early afternoon,29.41470588235294,1,Walk Up,2014.8926470588235,14.626470588235295,680
Barton Springs @ Kinney Ave,Barton Springs & Riverside,6,late afternoon,16.082474226804123,7,Local365,2015.2577319587629,15.88217967599411,679
City Hall / Lavaca & 2nd,2nd & Congress,5,early afternoon,34.144130757800895,3,Walk Up,2015.2511144130758,13.736998514115898,673
Barton Springs & Riverside,Riverside @ S. Lamar,6,early afternoon,23.511144130757803,3,Walk Up,2015.0965824665675,14.13818722139673,673
South Congress & Academy,Davis at Rainey Street,5,late afternoon,24.95059880239521,3,Walk Up,2015.2395209580839,16.27994011976048,668
Convention Center / 4th St. @ MetroRail,Plaza Saltillo,5,late afternoon,19.5374251497006,3,Walk Up,2015.4850299401198,15.155688622754491,668
Barton Springs @ Kinney Ave,Pfluger Bridge @ W 2nd Street,5,late afternoon,15.385307346326837,10,Walk Up,2015.6011994003,15.497751124437782,667
City Hall / Lavaca & 2nd,Capitol Station / Congress & 11th,6,early afternoon,20.719640179910044,5,Walk Up,2015.0314842578712,13.758620689655173,667
5th & San Marcos,Convention Center / 4th St. @ MetroRail,2,late morning,8.766917293233083,3,Walk Up,2015.4390977443609,13.625563909774437,665
4th & Congress,Convention Center / 4th St. @ MetroRail,5,late afternoon,19.003021148036254,3,Walk Up,2015.036253776435,14.885196374622357,662
Convention Center / 4th St. @ MetroRail,4th & Congress,4,late morning,18.181543116490168,3,Walk Up,2015.0635400907715,13.747352496217852,661
2nd & Congress,Barton Springs & Riverside,4,late afternoon,21.426403641881638,3,Walk Up,2015.0394537177542,15.160849772382397,659
Red River & 8th Street,Davis at Rainey Street,5,late afternoon,17.25531914893617,3,Walk Up,2015.3510638297873,15.98936170212766,658
4th & Congress,West & 6th St.,4,early afternoon,15.632621951219512,3,Local365,2015.1676829268292,14.701219512195122,656
Convention Center / 4th St. @ MetroRail,West & 6th St.,4,late morning,15.958841463414634,3,Local365,2015.0167682926829,13.204268292682928,656
Rainey St @ Cummings,MoPac Pedestrian Bridge @ Veterans Drive,6,late afternoon,28.954198473282442,5,Walk Up,2016.4076335877862,13.42442748091603,655
West & 6th St.,Convention Center / 4th St. @ MetroRail,4,late afternoon,14.587057010785824,3,Local365,2014.9892141756548,15.303543913713405,649
Riverside @ S. Lamar,4th & Congress,6,late morning,22.40895061728395,3,Walk Up,2015.5108024691358,13.492283950617283,648
Palmer Auditorium,Pfluger Bridge @ W 2nd Street,1,early morning,12.14860681114551,3,Local365,2015.6455108359132,12.719814241486068,646
2nd & Congress,3rd & West,4,late afternoon,9.542635658914728,3,Local365,2015.9720930232559,15.355038759689922,645
Barton Springs @ Kinney Ave,Palmer Auditorium,5,early afternoon,26.618380062305295,6,Walk Up,2015.601246105919,15.311526479750778,642
City Hall / Lavaca & 2nd,Barton Springs & Riverside,3,late afternoon,23.13343799058085,3,Local365,2014.9858712715857,14.2276295133438,637
Rainey St @ Cummings,Convention Center / 4th St. @ MetroRail,5,late morning,15.25314465408805,3,Walk Up,2015.3710691823899,13.374213836477987,636
Barton Springs @ Kinney Ave,2nd & Congress,5,late afternoon,26.14308176100629,3,Walk Up,2015.5408805031448,15.24685534591195,636
Convention Center / 3rd & Trinity,Davis at Rainey Street,5,evening,21.066141732283466,3,Walk Up,2015.7779527559055,15.801574803149606,635
South Congress & James,City Hall / Lavaca & 2nd,5,late afternoon,25.42047244094488,3,Walk Up,2015.0141732283464,14.7748031496063,635
Convention Center / 4th St. @ MetroRail,South Congress & James,5,early afternoon,28.160883280757098,3,Walk Up,2015.077287066246,13.66403785488959,634
Riverside @ S. Lamar,Barton Springs @ Kinney Ave,5,early afternoon,30.339116719242902,6,Walk Up,2015.570977917981,14.641955835962145,634
Barton Springs & Riverside,Palmer Auditorium,5,early afternoon,20.92259083728278,3,Walk Up,2015.3143759873617,13.361769352290679,633
Zilker Park,Pfluger Bridge @ W 2nd Street,5,late afternoon,23.351822503961966,10,Walk Up,2016.0776545166402,15.580031695721077,631
South Congress & Academy,City Hall / Lavaca & 2nd,5,early afternoon,19.83783783783784,3,Walk Up,2015.2384737678856,14.45468998410175,629
Bullock Museum @ Congress & MLK,UT West Mall @ Guadalupe,5,early afternoon,26.941082802547772,3,Walk Up,2015.2436305732483,14.310509554140127,628
Barton Springs @ Kinney Ave,Zilker Park,5,early afternoon,21.7936,10,Walk Up,2016.088,14.7088,625
Capitol Station / Congress & 11th,South Congress & Academy,5,early afternoon,28.766025641025642,4,Walk Up,2015.323717948718,14.064102564102564,624
Palmer Auditorium,4th & Congress,4,late afternoon,16.553225806451614,3,Local365,2015.0758064516128,14.235483870967743,620
Pfluger Bridge @ W 2nd Street,Zilker Park,6,early afternoon,23.30906148867314,10,Walk Up,2015.9644012944984,14.351132686084142,618
South Congress & James,Capitol Station / Congress & 11th,5,early afternoon,27.337662337662337,5,Walk Up,2015.137987012987,14.285714285714286,616
UT West Mall @ Guadalupe,Republic Square @ Guadalupe & 4th St.,5,late afternoon,19.328455284552845,3,Walk Up,2014.8650406504064,13.455284552845528,615
Pfluger Bridge @ W 2nd Street,5th & Bowie,5,late afternoon,21.69168026101142,7,Local365,2015.226753670473,14.202283849918434,613
Barton Springs @ Kinney Ave,Barton Springs Pool,5,early afternoon,17.216965742251222,7,Walk Up,2015.4176182707993,14.290375203915172,613
Rainey St @ Cummings,Long Center @ South 1st & Riverside,5,early afternoon,28.377450980392158,3,Walk Up,2015.673202614379,14.233660130718954,612
Bullock Museum @ Congress & MLK,Capitol Station / Congress & 11th,5,late afternoon,20.657937806873978,3,Walk Up,2015.240589198036,14.554828150572831,611
5th & Bowie,Davis at Rainey Street,5,evening,25.029556650246306,3,Walk Up,2015.256157635468,15.921182266009852,609
South Congress & Academy,Convention Center / 4th St. @ MetroRail,5,late afternoon,25.174917491749174,3,Walk Up,2014.9141914191418,14.91914191419142,606
3rd & West,Barton Springs @ Kinney Ave,4,evening,12.878535773710482,5,Local365,2015.810316139767,15.193011647254576,601
Capitol Station / Congress & 11th,Convention Center / 4th St. @ MetroRail,5,late afternoon,25.24,3,Walk Up,2014.8633333333332,14.655,600
East 11th St. & San Marcos,San Jacinto & 8th Street,3,late morning,7.737896494156928,7,Local365,2015.347245409015,10.447412353923205,599
Davis at Rainey Street,Convention Center / 3rd & Trinity,5,late afternoon,23.474123539232053,3,Walk Up,2015.736227045075,15.123539232053423,599
City Hall / Lavaca & 2nd,South Congress & Academy,5,early afternoon,23.433110367892976,3,Walk Up,2015.3729096989966,14.58361204013378,598
5th & Bowie,Long Center @ South 1st & Riverside,6,late afternoon,14.42158516020236,3,Walk Up,2015.3119730185497,15.591905564924115,593
Riverside @ S. Lamar,Barton Springs & Riverside,5,late afternoon,27.833052276559865,6,Walk Up,2015.1349072512648,14.661045531197303,593
8th & Congress,5th & Bowie,0,late afternoon,14.540816326530612,3,Local365,2014.9353741496598,14.554421768707483,588
West & 6th St.,4th & Congress,3,early afternoon,14.873287671232877,3,Local365,2015.097602739726,13.616438356164384,584
Palmer Auditorium,Riverside @ S. Lamar,5,early afternoon,31.857632933104632,5,Walk Up,2015.303602058319,14.174957118353344,583
South Congress & James,Davis at Rainey Street,5,late afternoon,29.604810996563575,3,Walk Up,2015.5515463917525,16.166666666666668,582
Capitol Station / Congress & 11th,Barton Springs & Riverside,5,early afternoon,25.21034482758621,5,Walk Up,2015.0258620689656,14.301724137931034,580
Palmer Auditorium,Barton Springs & Riverside,5,evening,25.20344827586207,5,Walk Up,2015.2379310344827,14.805172413793104,580
East 6th & Pedernales St.,Plaza Saltillo,3,late afternoon,11.629310344827585,5,Local365,2015.9293103448276,16.193103448275863,580
Pfluger Bridge @ W 2nd Street,West & 6th St.,4,early afternoon,17.157712305025996,9,Local365,2015.2790294627382,14.31889081455806,577
South Congress & James,Convention Center / 4th St. @ MetroRail,5,late afternoon,30.436077057793344,3,24-Hour Kiosk (Austin B-cycle),2014.8861646234675,14.761821366024519,571
2nd & Congress,Convention Center / 3rd & Trinity,5,early afternoon,24.019298245614035,3,Walk Up,2015.640350877193,14.307017543859649,570
Plaza Saltillo,East 6th & Pedernales St.,1,early morning,14.274165202108962,6,Local365,2015.9578207381371,10.342706502636204,569
4th & Congress,City Hall / Lavaca & 2nd,5,late afternoon,26.536971830985916,3,Walk Up,2014.963028169014,13.769366197183098,568
Palmer Auditorium,2nd & Congress,5,early afternoon,31.040564373897706,3,Walk Up,2015.3650793650793,15.11111111111111,567
Barton Springs @ Kinney Ave,Riverside @ S. Lamar,5,late afternoon,27.678507992895206,6,Walk Up,2015.6376554174067,14.488454706927175,563
Nueces @ 3rd,5th & Bowie,2,evening,4.506306306306306,1,Local365,2015.1981981981983,14.43963963963964,555
Capitol Station / Congress & 11th,Guadalupe & 21st,5,early afternoon,33.53333333333333,3,Walk Up,2014.9603603603603,13.2,555
5th & Bowie,Rainey St @ Cummings,5,late afternoon,20.481949458483754,3,Walk Up,2015.4711191335741,15.037906137184116,554
Barton Springs & Riverside,South Congress & James,5,late afternoon,28.534296028880867,3,Walk Up,2014.8862815884477,14.832129963898916,554
Pfluger Bridge @ W 2nd Street,Long Center @ South 1st & Riverside,6,evening,18.534296028880867,3,Local365,2015.4765342960288,14.978339350180505,554
Convention Center / 4th St. @ MetroRail,5th & San Marcos,3,late afternoon,11.329113924050633,3,Walk Up,2015.3399638336348,15.47739602169982,553
Long Center @ South 1st & Riverside,Rainey St @ Cummings,5,early afternoon,28.258589511754067,11,Walk Up,2015.6473779385171,14.55877034358047,553
4th & Congress,South Congress & Elizabeth,5,evening,26.016393442622952,3,Walk Up,2015.2531876138432,14.979963570127504,549
MoPac Pedestrian Bridge @ Veterans Drive,Rainey St @ Cummings,5,late afternoon,31.905109489051096,3,Walk Up,2016.4160583941605,14.319343065693431,548
City Hall / Lavaca & 2nd,West & 6th St.,5,evening,13.272893772893774,3,Local365,2015.1043956043957,15.89010989010989,546
Barton Springs Pool,Pfluger Bridge @ W 2nd Street,5,late afternoon,24.85164835164835,7,Walk Up,2015.3699633699634,15.036630036630036,546
5th & Bowie,Nueces @ 3rd,4,evening,4.2536764705882355,1,Local365,2015.2205882352941,15.887867647058824,544
Capitol Station / Congress & 11th,Trinity & 6th Street,5,early afternoon,36.87132352941177,5,Walk Up,2015.1672794117646,15.045955882352942,544
Zilker Park,MoPac Pedestrian Bridge @ Veterans Drive,5,early afternoon,27.503676470588236,3,Walk Up,2016.358455882353,14.275735294117647,544
